7600	6
7600	4
7600	1
7600	2
7600	3
7600	5
7601	13
7601	7
7601	9
7601	8
7601	12
7601	10
7601	11
7602	22
7602	23
7602	16
7602	19
7602	25
7602	17
7602	18
7602	21
7602	15
7602	14
7602	24
7602	20
7602	1
7603	27
7603	26
7603	4
7603	29
7603	28
7603	32
7603	30
7603	31
7604	37
7604	38
7604	39
7604	33
7604	36
7604	41
7604	35
7604	40
7604	34
7605	45
7605	44
7605	43
7605	42
7605	49
7605	47
7605	46
7605	48
7606	50
7606	53
7606	52
7606	55
7606	54
7606	51
7606	56
7609	63
7609	65
7609	62
7609	60
7609	64
7609	59
7609	35
7609	57
7609	61
7609	58
7610	68
7610	66
7610	69
7610	70
7610	67
7611	72
7611	77
7611	19
7611	76
7611	75
7611	73
7611	74
7611	55
7611	71
7612	78
7612	39
7612	4
7612	79
7612	80
7613	63
7613	88
7613	83
7613	84
7613	86
7613	82
7613	60
7613	87
7613	81
7613	85
7616	63
7616	45
7616	95
7616	92
7616	94
7616	91
7616	4
7616	90
7616	93
7616	12
7616	81
7616	89
7617	63
7617	98
7617	100
7617	96
7617	99
7617	97
7618	102
7618	81
7618	104
7618	93
7618	103
7618	101
7620	63
7620	109
7620	51
7620	107
7620	19
7620	55
7620	105
7620	18
7620	35
7620	1
7620	106
7620	108
7621	112
7621	111
7621	38
7621	71
7621	110
7621	113
7622	45
7622	116
7622	19
7622	4
7622	120
7622	119
7622	118
7622	114
7622	82
7622	117
7622	115
7624	63
7624	77
7624	4
7624	122
7624	123
7624	121
7624	124
7626	126
7626	128
7626	129
7626	35
7626	125
7626	127
7630	133
7630	4
7630	131
7630	134
7630	130
7630	132
7631	135
7631	136
7631	38
7632	138
7632	137
7632	56
7633	139
7633	143
7633	142
7633	140
7633	141
7633	35
7633	144
7634	112
7634	146
7634	4
7634	126
7634	149
7634	150
7634	145
7634	1
7634	147
7634	148
7637	19
7637	152
7637	82
7637	151
7637	155
7637	154
7637	156
7637	35
7637	1
7637	153
7638	158
7638	122
7638	37
7638	161
7638	159
7638	160
7638	162
7638	157
7640	53
7640	39
7640	165
7640	164
7640	163
7644	170
7644	45
7644	171
7644	167
7644	39
7644	166
7644	174
7644	169
7644	173
7644	38
7644	1
7644	172
7644	168
7645	45
7645	177
7645	42
7645	175
7645	176
7646	50
7646	109
7646	178
7646	55
7646	4
7646	155
7646	180
7646	81
7646	179
7648	181
7648	4
7648	183
7648	155
7648	1
7648	182
7650	171
7650	186
7650	187
7650	185
7650	184
7650	188
7652	189
7652	190
7652	19
7652	191
7652	12
7652	192
7653	194
7653	195
7653	193
7653	71
7653	197
7653	53
7653	196
7654	63
7654	13
7654	199
7654	4
7654	82
7654	198
7654	200
7655	51
7655	204
7655	202
7655	203
7655	1
7655	201
7656	205
7656	206
7656	19
7656	207
7657	13
7657	10
7657	4
7657	73
7657	208
7657	211
7657	209
7657	210
7658	217
7658	212
7658	218
7658	215
7658	216
7658	35
7658	213
7658	148
7658	214
7660	190
7660	19
7660	17
7660	215
7660	134
7660	216
7662	45
7662	223
